MAP2K4,FLNC
MYPN,ACTN2
ACVR1,FNTA
GATA2,PML
RPA2,STAT3
ARF1,GGA3
ARF3,ARFIP2
ARF3,ARFIP1
XRN1,ALDOA
APP,APPBP2
APLP1,DAB1
CITED2,TFAP2A
EP300,TFAP2A
APOB,MTTP
ARRB2,RALGDS
CSF1R,GRB2
PRRC2A,GRB2
LSM1,NARS
SLC4A1,SLC4A1AP
BCL3,BARD1
ADRB1,GIPC1
BRCA1,ATF1
BRCA1,MSH2
BRCA1,BARD1
BRCA1,MSH6
ARVCF,CDH15
PCBD1,CACNA1C
PSEN2,CAPN1
CAPN3,TTN
ITPR1,CA8
MAGI1,CTNNB1
RB1,CUX1
TSG101,CDKN1A
ORC1,MCM2
ORC4,MCM2
MCM5,MCM2
CDC7,MCM2
ORC2,MCM2
RPA2,MCM2
DBF4,MCM2
AKAP8,MCM2
RPA1,MCM2
RPA3,MCM2
ORC5,MCM2
MCM3,MCM2
YWHAZ,CDC25A
DOCK8,CDC42
TRIP10,CDC42
CDKN3,CDK2
RBBP8,RBL1
HAND2,CENPB
CLTC,HGS
IGFBP3,COL1A1
TXN,COL1A1
ATF2,SMAD3
ATF2,SMAD4
CCND3,EIF3K
RALBP1,CCNB1
PPIB,CAMLG
CSK,INSR
CSK,IGF1R
DCN,EGFR
SIM2,ARNT
SIM1,ARNT
NPAS4,ARNT
HBEGF,ZBTB16
PCNA,GADD45A
TOPBP1,TOP2B
FLNA,DRD3
LSM3,SNRPE
LSM4,SNRPE
LSM5,SNRPE
EP300,EGR1
CREBBP,EGR1
NUMA1,EPB41
EXOSC4,EEF1A1
PLCG1,EEF1A1
KTN1,EEF1D
KDR,ANXA5
PPARGC1B,ESR1
SMARCA4,ESR1
DDX54,ESR1
ESR1,DNTTIP2
FGFR1,FDPS
TGFB1,FNTA
SUMO1,FAS
MPP6,FTL
PRRC2A,FGA
FLNA,ITGB1
FGFR1,FRS3
GABRG2,GABARAP
SFN,NR3C1
TGFB1I1,NR3C1
NR3C1,ECD
GCK,PFKFB2
HSPA5,DPH1
SLC2A2,KPNA2
SLC2A4,DAXX
